Категория: Все категории

Месяц,Bitcoin USD: (По всему миру)
2014-01,2
2014-02,3
2014-03,2
2014-04,1
2014-05,1
2014-06,1
2014-07,1
2014-08,2
2014-09,2
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,1
2015-05,1
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,3
2015-12,2
2016-01,2
2016-02,2
2016-03,2
2016-04,2
2016-05,3
2016-06,4
2016-07,3
2016-08,2
2016-09,2
2016-10,2
2016-11,3
2016-12,4
2017-01,6
2017-02,5
2017-03,5
2017-04,4
2017-05,13
2017-06,13
2017-07,10
2017-08,16
2017-09,17
2017-10,18
2017-11,40
2017-12,100
2018-01,52
2018-02,43
2018-03,18
2018-04,14
2018-05,10
2018-06,9
2018-07,9
2018-08,9
2018-09,8
2018-10,6
2018-11,9
2018-12,11
2019-01,7
2019-02,7
2019-03,6
2019-04,9
2019-05,14
2019-06,18
2019-07,17
2019-08,13
2019-09,10
2019-10,10
2019-11,10
2019-12,8
2020-01,10
2020-02,12
2020-03,17
2020-04,13
2020-05,16
2020-06,11
2020-07,11
2020-08,15
2020-09,10
2020-10,12
2020-11,24
2020-12,33
2021-01,63
2021-02,68
2021-03,53
2021-04,51
2021-05,69
2021-06,51
2021-07,35
2021-08,38
2021-09,35
2021-10,45
