Категория: Все категории

Страна,Bitcoin USD: (01.01.2014 – 01.11.2021)
Намибия,
Сингапур,100
ОАЭ,82
Ливан,82
Ботсвана,
Куба,
Южно-Африканская Республика,68
Мальдивы,
Канада,65
Тринидад и Тобаго,61
Лихтенштейн,
Нигерия,57
Кюрасао,
Бруней-Даруссалам,
Гуам,
Острова Кайман,
Пакистан,52
Новая Зеландия,50
Исландия,
Малайзия,49
Бахрейн,48
Израиль,47
Грузия,45
Антигуа и Барбуда,
Гонконг,44
Гана,43
Катар,43
Эфиопия,43
Ямайка,42
Швейцария,42
Австралия,41
о-в Св. Елены,40
Кипр,37
о-в Мэн,
Маврикий,
Северная Македония,
Афганистан,
Албания,
Ирландия,31
Непал,30
Камбоджа,29
Мальта,
Кения,29
Барбадос,
Белиз,
Кувейт,28
Монголия,
Косово,
Аруба,
Уганда,
Зимбабве,
Шри-Ланка,25
Великобритания,24
Лаос,
Филиппины,23
Армения,
Багамы,
Камерун,
Люксембург,
Бангладеш,22
Гайана,
Джерси,
Оман,
Болгария,21
Туркменистан,
Руанда,
Суринам,
Коста-Рика,20
Иордания,18
Эстония,
Танзания,
Норвегия,17
Чехия,17
Китай,
Индия,17
Бенин,
Хорватия,17
Сомали,
Румыния,16
Иран,16
Швеция,16
Латвия,
Малави,
Словения,15
Сербия,15
Палестина,
Саудовская Аравия,15
Того,
Мадагаскар,
Макао,
Мьянма (Бирма),
Молдова,
Соединенные Штаты,12
Босния и Герцеговина,
Гаити,
Дания,12
Литва,11
Замбия,
Марокко,11
Азербайджан,
Бутан,
Панама,
Австрия,10
Черногория,
Конго - Киншаса,
Тунис,
Доминиканская Республика,9
Мозамбик,
Ангола,
Таиланд,9
Португалия,9
Венгрия,9
Египет,9
Нидерланды,9
Пуэрто-Рико,
Сальвадор,
Турция,8
Узбекистан,
Германия,8
Республика Корея,8
Никарагуа,
Аргентина,7
Ирак,
Греция,7
Бельгия,7
Финляндия,5
Уругвай,
Польша,5
Словакия,
Колумбия,5
Алжир,5
Кот-д’Ивуар,
Ливия,
Украина,5
Вьетнам,4
Венесуэла,4
Испания,4
Чили,4
Гондурас,
Мексика,4
Парагвай,
Сенегал,
Киргизия,
Беларусь,
Индонезия,3
Казахстан,
Гватемала,
Судан,
Россия,3
Италия,3
Тайвань,3
Сирия,
Франция,2
Перу,
Эквадор,
Бразилия,2
Боливия,
Япония,1
Острова Кука,
Фарерские о-ва,
о-ва Тёркс и Кайкос,
Эсватини,
Гибралтар,
Бермудские о-ва,
"Бонэйр, Синт-Эстатиус и Саба",
Сен-Мартен,
Лесото,
Папуа — Новая Гвинея,
Гернси,
Аландские о-ва,
Джибути,
Сейшельские Острова,
Доминика,
Южный Судан,
Синт-Мартен,
Ангилья,
Гамбия,
Монако,
Гренада,
Сент-Китс и Невис,
Виргинские о-ва (США),
Тонга,
Западная Сахара,
Американское Самоа,
Сент-Люсия,
Северные Марианские о-ва,
Сент-Винсент и Гренадины,
Андорра,
Бурунди,
Центрально-Африканская Республика,
Соломоновы Острова,
Новая Каледония,
Фиджи,
Кабо-Верде,
Виргинские о-ва (Великобритания),
Конго - Браззавиль,
Французская Полинезия,
Нигер,
Гренландия,
Габон,
Буркина-Фасо,
Мали,
Таджикистан,
Сьерра-Леоне,
Гвинея,
Мавритания,
Либерия,
Французская Гвиана,
Гваделупа,
Реюньон,
Йемен,
Антарктида,
Французские Южные территории,
Сен-Бартелеми,
о-в Буве,
Кокосовые о-ва,
Коморы,
о-в Рождества,
Эритрея,
Фолклендские (Мальвинские) о-ва,
Федеративные Штаты Микронезии,
Гвинея-Бисау,
Экваториальная Гвинея,
о-ва Херд и Макдональд,
Британская территория в Индийском океане,
Кирибати,
Маршалловы Острова,
Монтсеррат,
Мартиника,
Майотта,
о-в Норфолк,
Ниуэ,
Науру,
о-ва Питкэрн,
Палау,
КНДР,
Южная Георгия и Южные Сандвичевы о-ва,
Шпицберген и Ян-Майен,
Сан-Марино,
Сен-Пьер и Микелон,
Сан-Томе и Принсипи,
Чад,
Токелау,
Восточный Тимор,
Тувалу,
Внешние малые о-ва (США),
Ватикан,
Вануату,
Уоллис и Футуна,
Самоа,
