t,v
2015-07-30T00:00:00Z,0
2015-07-31T00:00:00Z,0
2015-08-01T00:00:00Z,0
2015-08-02T00:00:00Z,0
2015-08-03T00:00:00Z,0
2015-08-04T00:00:00Z,0
2015-08-05T00:00:00Z,0
2015-08-06T00:00:00Z,0
2015-08-07T00:00:00Z,1085
2015-08-08T00:00:00Z,800
2015-08-09T00:00:00Z,731
2015-08-10T00:00:00Z,997
2015-08-11T00:00:00Z,2339
2015-08-12T00:00:00Z,904
2015-08-13T00:00:00Z,1273
2015-08-14T00:00:00Z,1592
2015-08-15T00:00:00Z,1309
2015-08-16T00:00:00Z,1202
2015-08-17T00:00:00Z,1249
2015-08-18T00:00:00Z,1294
2015-08-19T00:00:00Z,1349
2015-08-20T00:00:00Z,1166
2015-08-21T00:00:00Z,1423
2015-08-22T00:00:00Z,1413
2015-08-23T00:00:00Z,1569
2015-08-24T00:00:00Z,1436
2015-08-25T00:00:00Z,1576
2015-08-26T00:00:00Z,1527
2015-08-27T00:00:00Z,1590
2015-08-28T00:00:00Z,1530
2015-08-29T00:00:00Z,1375
2015-08-30T00:00:00Z,1624
2015-08-31T00:00:00Z,1514
2015-09-01T00:00:00Z,1551
2015-09-02T00:00:00Z,1514
2015-09-03T00:00:00Z,1447
2015-09-04T00:00:00Z,1446
2015-09-05T00:00:00Z,1476
2015-09-06T00:00:00Z,1585
2015-09-07T00:00:00Z,1631
2015-09-08T00:00:00Z,1540
2015-09-09T00:00:00Z,1543
2015-09-10T00:00:00Z,1539
2015-09-11T00:00:00Z,1701
2015-09-12T00:00:00Z,1543
2015-09-13T00:00:00Z,1598
2015-09-14T00:00:00Z,1622
2015-09-15T00:00:00Z,1486
2015-09-16T00:00:00Z,1509
2015-09-17T00:00:00Z,1516
2015-09-18T00:00:00Z,1459
2015-09-19T00:00:00Z,1367
2015-09-20T00:00:00Z,1466
2015-09-21T00:00:00Z,1520
2015-09-22T00:00:00Z,1533
2015-09-23T00:00:00Z,1732
2015-09-24T00:00:00Z,1568
2015-09-25T00:00:00Z,1536
2015-09-26T00:00:00Z,1420
2015-09-27T00:00:00Z,1414
2015-09-28T00:00:00Z,1545
2015-09-29T00:00:00Z,1532
2015-09-30T00:00:00Z,1490
2015-10-01T00:00:00Z,1472
2015-10-02T00:00:00Z,1375
2015-10-03T00:00:00Z,1389
2015-10-04T00:00:00Z,1393
2015-10-05T00:00:00Z,1395
2015-10-06T00:00:00Z,1415
2015-10-07T00:00:00Z,1373
2015-10-08T00:00:00Z,1330
2015-10-09T00:00:00Z,1366
2015-10-10T00:00:00Z,1266
2015-10-11T00:00:00Z,1300
2015-10-12T00:00:00Z,1327
2015-10-13T00:00:00Z,1475
2015-10-14T00:00:00Z,1565
2015-10-15T00:00:00Z,1496
2015-10-16T00:00:00Z,1366
2015-10-17T00:00:00Z,1353
2015-10-18T00:00:00Z,1340
2015-10-19T00:00:00Z,1450
2015-10-20T00:00:00Z,1311
2015-10-21T00:00:00Z,1520
2015-10-22T00:00:00Z,1386
2015-10-23T00:00:00Z,1502
2015-10-24T00:00:00Z,1635
2015-10-25T00:00:00Z,1494
2015-10-26T00:00:00Z,1648
2015-10-27T00:00:00Z,1694
2015-10-28T00:00:00Z,1699
2015-10-29T00:00:00Z,1971
2015-10-30T00:00:00Z,2208
2015-10-31T00:00:00Z,1976
2015-11-01T00:00:00Z,2128
2015-11-02T00:00:00Z,2031
2015-11-03T00:00:00Z,2063
2015-11-04T00:00:00Z,2038
2015-11-05T00:00:00Z,1911
2015-11-06T00:00:00Z,1802
2015-11-07T00:00:00Z,2058
2015-11-08T00:00:00Z,2262
2015-11-09T00:00:00Z,2060
2015-11-10T00:00:00Z,1822
2015-11-11T00:00:00Z,2033
2015-11-12T00:00:00Z,1805
2015-11-13T00:00:00Z,1804
2015-11-14T00:00:00Z,1794
2015-11-15T00:00:00Z,1758
2015-11-16T00:00:00Z,1864
2015-11-17T00:00:00Z,1901
2015-11-18T00:00:00Z,1859
2015-11-19T00:00:00Z,1862
2015-11-20T00:00:00Z,1763
2015-11-21T00:00:00Z,1710
2015-11-22T00:00:00Z,2015
2015-11-23T00:00:00Z,1738
2015-11-24T00:00:00Z,1820
2015-11-25T00:00:00Z,1709
2015-11-26T00:00:00Z,1804
2015-11-27T00:00:00Z,1660
2015-11-28T00:00:00Z,1651
2015-11-29T00:00:00Z,1666
2015-11-30T00:00:00Z,1782
2015-12-01T00:00:00Z,1762
2015-12-02T00:00:00Z,1673
2015-12-03T00:00:00Z,1755
2015-12-04T00:00:00Z,1741
2015-12-05T00:00:00Z,1713
2015-12-06T00:00:00Z,2001
2015-12-07T00:00:00Z,1952
2015-12-08T00:00:00Z,1753
2015-12-09T00:00:00Z,1747
2015-12-10T00:00:00Z,1778
2015-12-11T00:00:00Z,1784
2015-12-12T00:00:00Z,2152
2015-12-13T00:00:00Z,1960
2015-12-14T00:00:00Z,2177
2015-12-15T00:00:00Z,2164
2015-12-16T00:00:00Z,2150
2015-12-17T00:00:00Z,2402
2015-12-18T00:00:00Z,2184
2015-12-19T00:00:00Z,2187
2015-12-20T00:00:00Z,2207
2015-12-21T00:00:00Z,2312
2015-12-22T00:00:00Z,2311
2015-12-23T00:00:00Z,2215
2015-12-24T00:00:00Z,2234
2015-12-25T00:00:00Z,2158
2015-12-26T00:00:00Z,2282
2015-12-27T00:00:00Z,2214
2015-12-28T00:00:00Z,2422
2015-12-29T00:00:00Z,2392
2015-12-30T00:00:00Z,2360
2015-12-31T00:00:00Z,2578
2016-01-01T00:00:00Z,2350
2016-01-02T00:00:00Z,2410
2016-01-03T00:00:00Z,2454
2016-01-04T00:00:00Z,2537
2016-01-05T00:00:00Z,2533
2016-01-06T00:00:00Z,2645
2016-01-07T00:00:00Z,2683
2016-01-08T00:00:00Z,2610
2016-01-09T00:00:00Z,2624
2016-01-10T00:00:00Z,2797
2016-01-11T00:00:00Z,2950
2016-01-12T00:00:00Z,2985
2016-01-13T00:00:00Z,2815
2016-01-14T00:00:00Z,2751
2016-01-15T00:00:00Z,3123
2016-01-16T00:00:00Z,2662
2016-01-17T00:00:00Z,2578
2016-01-18T00:00:00Z,3050
2016-01-19T00:00:00Z,2844
2016-01-20T00:00:00Z,3349
2016-01-21T00:00:00Z,2900
2016-01-22T00:00:00Z,2976
2016-01-23T00:00:00Z,3408
2016-01-24T00:00:00Z,3820
2016-01-25T00:00:00Z,4035
2016-01-26T00:00:00Z,4326
2016-01-27T00:00:00Z,4051
2016-01-28T00:00:00Z,4459
2016-01-29T00:00:00Z,4313
2016-01-30T00:00:00Z,4335
