t,v
2009-01-09T00:00:00Z,128185.020473945
2009-01-10T00:00:00Z,1676937.68317833
2009-01-11T00:00:00Z,4679435.77745756
2009-01-12T00:00:00Z,4653054.48936219
2009-01-13T00:00:00Z,6070590.27392758
2009-01-14T00:00:00Z,6434818.94943207
2009-01-15T00:00:00Z,6294675.93281533
2009-01-16T00:00:00Z,5328131.45222725
2009-01-17T00:00:00Z,5410403.97633136
2009-01-18T00:00:00Z,5333196.01568992
2009-01-19T00:00:00Z,5758671.31910925
2009-01-20T00:00:00Z,5619555.73625314
2009-01-21T00:00:00Z,5784162.24391661
2009-01-22T00:00:00Z,4016793.32322049
2009-01-23T00:00:00Z,4174599.67212053
2009-01-24T00:00:00Z,10013901.4081592
2009-01-25T00:00:00Z,9527301.32788256
2009-01-26T00:00:00Z,4764961.23257561
2009-01-27T00:00:00Z,4818159.8495611
2009-01-28T00:00:00Z,5551038.42911709
2009-01-29T00:00:00Z,6043270.45544508
2009-01-30T00:00:00Z,5825608.61628352
2009-01-31T00:00:00Z,6808950.08326441
2009-02-01T00:00:00Z,5649167.80482354
2009-02-02T00:00:00Z,6345874.66395789
2009-02-03T00:00:00Z,6892098.38427171
2009-02-04T00:00:00Z,5935168.5930743
2009-02-05T00:00:00Z,6243765.40902011
2009-02-06T00:00:00Z,6075975.02420019
2009-02-07T00:00:00Z,6425937.77831387
2009-02-08T00:00:00Z,6548794.4354576
2009-02-09T00:00:00Z,6647327.53134673
2009-02-10T00:00:00Z,5988451.46714692
2009-02-11T00:00:00Z,6607336.27556851
2009-02-12T00:00:00Z,5952518.64276813
2009-02-13T00:00:00Z,6102763.26607691
2009-02-14T00:00:00Z,6779979.2491962
2009-02-15T00:00:00Z,6357395.93972825
2009-02-16T00:00:00Z,6063319.52593758
2009-02-17T00:00:00Z,5806424.17304492
2009-02-18T00:00:00Z,5893711.44570944
2009-02-19T00:00:00Z,6173505.17809616
2009-02-20T00:00:00Z,6043528.52427856
2009-02-21T00:00:00Z,5672485.65438621
2009-02-22T00:00:00Z,6017031.87236309
2009-02-23T00:00:00Z,5388228.97729042
2009-02-24T00:00:00Z,5254631.56445563
2009-02-25T00:00:00Z,5255650.07610102
2009-02-26T00:00:00Z,5262837.55149905
2009-02-27T00:00:00Z,5743871.32420835
2009-02-28T00:00:00Z,4897735.00626613
2009-03-01T00:00:00Z,5251671.86137507
2009-03-02T00:00:00Z,5374307.35683003
2009-03-03T00:00:00Z,5220484.64525091
