t,v
2015-07-30T00:00:00Z,19107582359.6007
2015-07-31T00:00:00Z,46799991645.4346
2015-08-01T00:00:00Z,54214323540.1988
2015-08-02T00:00:00Z,63155175045.3328
2015-08-03T00:00:00Z,68760578661.1602
2015-08-04T00:00:00Z,75456246198.9683
2015-08-05T00:00:00Z,80361131461.383
2015-08-06T00:00:00Z,81664303806.8326
2015-08-07T00:00:00Z,88270488838.6036
2015-08-08T00:00:00Z,96449849792.7479
2015-08-09T00:00:00Z,101396920722.077
2015-08-10T00:00:00Z,111643071601.253
2015-08-11T00:00:00Z,124075704134.252
2015-08-12T00:00:00Z,130892997332.715
2015-08-13T00:00:00Z,142846542586.419
2015-08-14T00:00:00Z,177180146081.296
2015-08-15T00:00:00Z,210273663901.635
2015-08-16T00:00:00Z,214978134556.6
2015-08-17T00:00:00Z,241380632162.915
2015-08-18T00:00:00Z,250647826221.543
2015-08-19T00:00:00Z,265479542999.799
2015-08-20T00:00:00Z,208573382733.736
2015-08-21T00:00:00Z,260002308095.795
2015-08-22T00:00:00Z,294127490360.094
2015-08-23T00:00:00Z,297962937481.056
2015-08-24T00:00:00Z,310719456072.154
2015-08-25T00:00:00Z,304941030619.328
2015-08-26T00:00:00Z,323405173074.526
2015-08-27T00:00:00Z,322865699790.857
2015-08-28T00:00:00Z,336600560840.108
2015-08-29T00:00:00Z,333683219981.344
2015-08-30T00:00:00Z,325988972620.197
2015-08-31T00:00:00Z,343940678922.416
2015-09-01T00:00:00Z,348221383736.916
2015-09-02T00:00:00Z,342955046043.434
2015-09-03T00:00:00Z,325737135325.491
2015-09-04T00:00:00Z,332985537862.227
2015-09-05T00:00:00Z,354872629722.631
2015-09-06T00:00:00Z,363256531258.943
2015-09-07T00:00:00Z,354549244570.555
2015-09-08T00:00:00Z,346233102384.159
2015-09-09T00:00:00Z,361416162850.036
2015-09-10T00:00:00Z,364173374024.847
2015-09-11T00:00:00Z,390448600509.169
2015-09-12T00:00:00Z,397079110994.839
2015-09-13T00:00:00Z,404027987626.15
2015-09-14T00:00:00Z,371887518180.468
2015-09-15T00:00:00Z,359733463886.929
2015-09-16T00:00:00Z,354412670056.102
2015-09-17T00:00:00Z,335711481733.079
2015-09-18T00:00:00Z,319866968379.81
2015-09-19T00:00:00Z,325800606677.176
2015-09-20T00:00:00Z,380624612191.786
2015-09-21T00:00:00Z,384180681679.458
2015-09-22T00:00:00Z,387123780748.238
2015-09-23T00:00:00Z,412109046719.915
2015-09-24T00:00:00Z,408438815507.653
2015-09-25T00:00:00Z,413679736106.594
2015-09-26T00:00:00Z,412404556877.68
2015-09-27T00:00:00Z,400597913043.024
2015-09-28T00:00:00Z,369654848004.298
2015-09-29T00:00:00Z,324978993332.389
2015-09-30T00:00:00Z,309540652844.151
2015-10-01T00:00:00Z,340489973619.636
2015-10-02T00:00:00Z,355844626363.941
2015-10-03T00:00:00Z,369577408369.808
2015-10-04T00:00:00Z,350945872152.694
2015-10-05T00:00:00Z,364272534122.82
2015-10-06T00:00:00Z,348909348855.123
2015-10-07T00:00:00Z,346520471658.751
2015-10-08T00:00:00Z,356370131812.326
2015-10-09T00:00:00Z,347475085739.297
2015-10-10T00:00:00Z,341889928978.859
2015-10-11T00:00:00Z,360444554729.875
2015-10-12T00:00:00Z,366132726170.546
2015-10-13T00:00:00Z,375741659870.74
2015-10-14T00:00:00Z,370055355383.595
2015-10-15T00:00:00Z,353881909529.648
2015-10-16T00:00:00Z,328810866398.081
2015-10-17T00:00:00Z,351361089121.509
2015-10-18T00:00:00Z,341853814178.031
2015-10-19T00:00:00Z,340958781576.628
2015-10-20T00:00:00Z,336974457676.335
2015-10-21T00:00:00Z,339309075117.105
2015-10-22T00:00:00Z,320892344436.404
2015-10-23T00:00:00Z,357731417618.451
2015-10-24T00:00:00Z,376232538750.55
2015-10-25T00:00:00Z,388634160050.171
2015-10-26T00:00:00Z,371467745619.802
2015-10-27T00:00:00Z,394753698464.326
2015-10-28T00:00:00Z,393363859347.273
2015-10-29T00:00:00Z,420144612318.767
2015-10-30T00:00:00Z,449644121306.679
2015-10-31T00:00:00Z,462390375678.877
2015-11-01T00:00:00Z,464372588459.855
2015-11-02T00:00:00Z,446880995024.904
2015-11-03T00:00:00Z,431335333652.44
2015-11-04T00:00:00Z,459253661322.561
2015-11-05T00:00:00Z,447759424560.094
2015-11-06T00:00:00Z,451655488115.17
2015-11-07T00:00:00Z,430137113949.846
2015-11-08T00:00:00Z,447797932551.71
2015-11-09T00:00:00Z,450878525534.431
2015-11-10T00:00:00Z,453764414101.155
2015-11-11T00:00:00Z,446469499914.739
2015-11-12T00:00:00Z,455167950152.425
2015-11-13T00:00:00Z,466083861197.431
2015-11-14T00:00:00Z,469489457759.978
2015-11-15T00:00:00Z,496516711496.94
2015-11-16T00:00:00Z,485350413785.741
2015-11-17T00:00:00Z,487004938873.468
2015-11-18T00:00:00Z,501916514725.147
2015-11-19T00:00:00Z,507258049551.239
2015-11-20T00:00:00Z,435273646545.898
2015-11-21T00:00:00Z,442803104517.93
2015-11-22T00:00:00Z,440241076305.023
2015-11-23T00:00:00Z,445647654113.841
2015-11-24T00:00:00Z,443563495586.866
2015-11-25T00:00:00Z,429662935488.236
2015-11-26T00:00:00Z,428481846144.268
2015-11-27T00:00:00Z,447187939032.675
2015-11-28T00:00:00Z,447539756341.36
2015-11-29T00:00:00Z,451171938513.572
2015-11-30T00:00:00Z,457568169864.743
2015-12-01T00:00:00Z,462784726705.663
2015-12-02T00:00:00Z,436033830531.007
2015-12-03T00:00:00Z,456886925657.693
2015-12-04T00:00:00Z,453901263953.873
2015-12-05T00:00:00Z,473034947942.571
2015-12-06T00:00:00Z,446408747951.662
2015-12-07T00:00:00Z,439992011786.097
2015-12-08T00:00:00Z,428636955142.14
2015-12-09T00:00:00Z,442705077303.937
2015-12-10T00:00:00Z,462821178526.538
2015-12-11T00:00:00Z,471987005288.134
2015-12-12T00:00:00Z,472492826792.84
2015-12-13T00:00:00Z,517663747655.847
2015-12-14T00:00:00Z,496272808413.52
2015-12-15T00:00:00Z,514248800515.948
2015-12-16T00:00:00Z,493823295935.535
2015-12-17T00:00:00Z,511450561029.958
2015-12-18T00:00:00Z,510045257308.005
2015-12-19T00:00:00Z,508206214024.377
2015-12-20T00:00:00Z,488933255497.539
2015-12-21T00:00:00Z,490352726259.798
2015-12-22T00:00:00Z,518581309816.655
2015-12-23T00:00:00Z,504720541520.468
2015-12-24T00:00:00Z,497409736991.628
2015-12-25T00:00:00Z,502504742553.491
2015-12-26T00:00:00Z,489393674489.842
2015-12-27T00:00:00Z,498813183791.087
2015-12-28T00:00:00Z,501391041188.974
2015-12-29T00:00:00Z,495915294555.074
2015-12-30T00:00:00Z,493085040973.387
2015-12-31T00:00:00Z,498185059158.719
2016-01-01T00:00:00Z,483146737803.456
2016-01-02T00:00:00Z,480570757251.188
2016-01-03T00:00:00Z,493841843786.117
2016-01-04T00:00:00Z,491178701739.228
2016-01-05T00:00:00Z,492699537663.071
2016-01-06T00:00:00Z,495954801382.63
2016-01-07T00:00:00Z,473114572208.916
2016-01-08T00:00:00Z,497219883977.125
2016-01-09T00:00:00Z,497444348472.355
2016-01-10T00:00:00Z,491487344559.202
2016-01-11T00:00:00Z,521244492061.218
2016-01-12T00:00:00Z,507062463477.728
2016-01-13T00:00:00Z,491192812089.854
2016-01-14T00:00:00Z,514373324045.329
2016-01-15T00:00:00Z,529144998023.854
2016-01-16T00:00:00Z,537270349044.268
2016-01-17T00:00:00Z,528315777888.758
2016-01-18T00:00:00Z,555119989665.917
2016-01-19T00:00:00Z,548764650768.01
2016-01-20T00:00:00Z,548847439780.703
2016-01-21T00:00:00Z,551234113320.587
2016-01-22T00:00:00Z,573292978976.024
2016-01-23T00:00:00Z,573454941556.911
2016-01-24T00:00:00Z,605351827249.734
2016-01-25T00:00:00Z,583651395499.166
2016-01-26T00:00:00Z,632657694606.807
2016-01-27T00:00:00Z,623953319360.021
2016-01-28T00:00:00Z,611672644920.882
2016-01-29T00:00:00Z,627275937328.687
2016-01-30T00:00:00Z,631328870296.118
2016-01-31T00:00:00Z,603213673889.342
2016-02-01T00:00:00Z,633701606958.144
2016-02-02T00:00:00Z,611654698495.618
2016-02-03T00:00:00Z,652814909716.255
2016-02-04T00:00:00Z,650820913525.013
2016-02-05T00:00:00Z,652668929515.163
2016-02-06T00:00:00Z,627249509998.634
2016-02-07T00:00:00Z,650154771195.644
2016-02-08T00:00:00Z,677146155598.835
2016-02-09T00:00:00Z,658040084314.776
2016-02-10T00:00:00Z,668735727240.027
2016-02-11T00:00:00Z,696786399096.858
2016-02-12T00:00:00Z,672574478346.124
2016-02-13T00:00:00Z,712689177617.338
2016-02-14T00:00:00Z,721498640763.999
2016-02-15T00:00:00Z,741058722988.967
2016-02-16T00:00:00Z,738332185091.311
2016-02-17T00:00:00Z,714848930939.545
2016-02-18T00:00:00Z,704824841219.741
2016-02-19T00:00:00Z,736779414800.902
2016-02-20T00:00:00Z,748841498916.51
2016-02-21T00:00:00Z,758044434793.575
2016-02-22T00:00:00Z,793015312798.94
2016-02-23T00:00:00Z,792457058660.897
2016-02-24T00:00:00Z,792648621325.361
2016-02-25T00:00:00Z,805314992344.29
2016-02-26T00:00:00Z,821333995638.91
2016-02-27T00:00:00Z,841180455088.384
2016-02-28T00:00:00Z,857758345615.535
2016-02-29T00:00:00Z,832831284915.998
2016-03-01T00:00:00Z,844942991115.509
2016-03-02T00:00:00Z,881585537104.896
2016-03-03T00:00:00Z,905016871675.279
2016-03-04T00:00:00Z,932909383622.856
2016-03-05T00:00:00Z,978599559270.244
2016-03-06T00:00:00Z,984746985611.435
2016-03-07T00:00:00Z,998092568614.756
2016-03-08T00:00:00Z,1015547043083.15
2016-03-09T00:00:00Z,1031525925506.85
2016-03-10T00:00:00Z,1082624584189.15
2016-03-11T00:00:00Z,1094414377160.44
2016-03-12T00:00:00Z,1142609455345.31
2016-03-13T00:00:00Z,1207900218125.62
2016-03-14T00:00:00Z,1186054890902.04
2016-03-15T00:00:00Z,1215375125403.31
2016-03-16T00:00:00Z,1239257546869.25
2016-03-17T00:00:00Z,1268238807056.8
2016-03-18T00:00:00Z,1261434319181.37
2016-03-19T00:00:00Z,1312355643168.22
2016-03-20T00:00:00Z,1355676098749.33
2016-03-21T00:00:00Z,1335378401631.16
2016-03-22T00:00:00Z,1373775960784.34
2016-03-23T00:00:00Z,1296762734433.17
2016-03-24T00:00:00Z,1396919607370.06
2016-03-25T00:00:00Z,1464960914632.31
2016-03-26T00:00:00Z,1509675663909
2016-03-27T00:00:00Z,1536410708511.78
2016-03-28T00:00:00Z,1510422156990.27
2016-03-29T00:00:00Z,1565721993096.95
2016-03-30T00:00:00Z,1596193946003.67
2016-03-31T00:00:00Z,1663960868285.17
2016-04-01T00:00:00Z,1670747166343.63
2016-04-02T00:00:00Z,1614896639791.99
2016-04-03T00:00:00Z,1695778266448.92
2016-04-04T00:00:00Z,1777768930741.77
2016-04-05T00:00:00Z,1794023546703.12
2016-04-06T00:00:00Z,1782894541114
2016-04-07T00:00:00Z,1697538599126
2016-04-08T00:00:00Z,1842874459546.51
2016-04-09T00:00:00Z,1841653239722.35
2016-04-10T00:00:00Z,1900053119899.68
2016-04-11T00:00:00Z,1855611584581.53
2016-04-12T00:00:00Z,1814699497260.76
2016-04-13T00:00:00Z,1895340876900.16
2016-04-14T00:00:00Z,1918999537859.25
2016-04-15T00:00:00Z,1984157715155.39
2016-04-16T00:00:00Z,2011090549586.44
2016-04-17T00:00:00Z,1962359936995.21
2016-04-18T00:00:00Z,2068407493597.93
2016-04-19T00:00:00Z,2072532550474.97
2016-04-20T00:00:00Z,2110782142048.38
2016-04-21T00:00:00Z,2138775782154.9
2016-04-22T00:00:00Z,2074420213381.04
2016-04-23T00:00:00Z,2160894559430.04
2016-04-24T00:00:00Z,2117868254334.7
2016-04-25T00:00:00Z,2224772864811.25
2016-04-26T00:00:00Z,2168856113290.69
2016-04-27T00:00:00Z,2178399983115.12
2016-04-28T00:00:00Z,2233718374900.62
2016-04-29T00:00:00Z,2278954747898.62
2016-04-30T00:00:00Z,2361382555432.34
2016-05-01T00:00:00Z,2369696942872.72
2016-05-02T00:00:00Z,2267977994882.44
2016-05-03T00:00:00Z,2392758702954.58
2016-05-04T00:00:00Z,2363732565097.67
2016-05-05T00:00:00Z,2366467277962.28
2016-05-06T00:00:00Z,2373610233594.37
2016-05-07T00:00:00Z,2361234608406.11
2016-05-08T00:00:00Z,2412603547685.22
2016-05-09T00:00:00Z,2439237559919.42
2016-05-10T00:00:00Z,2483511305346.57
2016-05-11T00:00:00Z,2384366771047.25
2016-05-12T00:00:00Z,2436675319709.34
2016-05-13T00:00:00Z,2583580216797.62
2016-05-14T00:00:00Z,2538872202601.7
2016-05-15T00:00:00Z,2582559551050.92
2016-05-16T00:00:00Z,2577261799293.25
2016-05-17T00:00:00Z,2560311190364.75
2016-05-18T00:00:00Z,2658026153875.42
2016-05-19T00:00:00Z,2748023535112.2
2016-05-20T00:00:00Z,2797605735642.18
2016-05-21T00:00:00Z,2812221418861.53
2016-05-22T00:00:00Z,2818330188815.01
2016-05-23T00:00:00Z,2806391422688.82
2016-05-24T00:00:00Z,2857372144738.03
2016-05-25T00:00:00Z,2861044767914.74
2016-05-26T00:00:00Z,2921978133177.15
2016-05-27T00:00:00Z,2917554314820.2
2016-05-28T00:00:00Z,2973488399011.02
2016-05-29T00:00:00Z,3028664629188.21
2016-05-30T00:00:00Z,3016046670196.75
2016-05-31T00:00:00Z,2990224714550.21
2016-06-01T00:00:00Z,2933851746159.95
2016-06-02T00:00:00Z,3012733548812.44
2016-06-03T00:00:00Z,3138174730794
2016-06-04T00:00:00Z,3132572462968.73
2016-06-05T00:00:00Z,3096063643372.75
2016-06-06T00:00:00Z,3197055459042.03
2016-06-07T00:00:00Z,3201914472481.92
2016-06-08T00:00:00Z,3231445941930.04
2016-06-09T00:00:00Z,3393361638416.47
2016-06-10T00:00:00Z,3198728417836.73
2016-06-11T00:00:00Z,3311606001745.56
2016-06-12T00:00:00Z,3322502696078.66
2016-06-13T00:00:00Z,3457671599699.97
2016-06-14T00:00:00Z,3465721350154.18
2016-06-15T00:00:00Z,3457012445283.43
2016-06-16T00:00:00Z,3456545569897.99
2016-06-17T00:00:00Z,3268714290093.75
2016-06-18T00:00:00Z,3111181220786.91
2016-06-19T00:00:00Z,3557228613129.39
2016-06-20T00:00:00Z,3521785341476.48
2016-06-21T00:00:00Z,3468494113026.75
2016-06-22T00:00:00Z,3618415737265.44
2016-06-23T00:00:00Z,3712609072635.69
2016-06-24T00:00:00Z,3689142552299.52
2016-06-25T00:00:00Z,3709819751246.82
2016-06-26T00:00:00Z,3771934329024.34
2016-06-27T00:00:00Z,3872950751424.46
2016-06-28T00:00:00Z,3918598911945.42
2016-06-29T00:00:00Z,3808123065531.97
2016-06-30T00:00:00Z,3807078116210.57
2016-07-01T00:00:00Z,3914906769303.22
2016-07-02T00:00:00Z,3931412057252.86
2016-07-03T00:00:00Z,4037673032455.83
2016-07-04T00:00:00Z,4028808235797.38
2016-07-05T00:00:00Z,4018328025058.61
2016-07-06T00:00:00Z,4017642955808.5
2016-07-07T00:00:00Z,4028506424156.8
2016-07-08T00:00:00Z,4013996543430.16
2016-07-09T00:00:00Z,3994509630499.95
2016-07-10T00:00:00Z,4088868335512.52
2016-07-11T00:00:00Z,4135040534315.51
2016-07-12T00:00:00Z,4149668309299.35
2016-07-13T00:00:00Z,4212527805333.55
2016-07-14T00:00:00Z,4154046720215.92
2016-07-15T00:00:00Z,4066936496767.1
2016-07-16T00:00:00Z,4122387870133.69
2016-07-17T00:00:00Z,4159190067861.03
2016-07-18T00:00:00Z,4220815085035.67
2016-07-19T00:00:00Z,4170270547671.08
2016-07-20T00:00:00Z,4050905882049.07
2016-07-21T00:00:00Z,4253501348323.73
2016-07-22T00:00:00Z,4106183773148
2016-07-23T00:00:00Z,4285633579025.14
2016-07-24T00:00:00Z,4181079550338.17
2016-07-25T00:00:00Z,4049352589527.4
2016-07-26T00:00:00Z,3847382216846.2
2016-07-27T00:00:00Z,3662506172720.27
2016-07-28T00:00:00Z,3916288700542.91
2016-07-29T00:00:00Z,3814684711102.2
2016-07-30T00:00:00Z,3783979392238.54
2016-07-31T00:00:00Z,3799350762006.08
2016-08-01T00:00:00Z,3754489135403.35
2016-08-02T00:00:00Z,3463559509451.07
2016-08-03T00:00:00Z,3366317201379.15
2016-08-04T00:00:00Z,3659011406623.94
2016-08-05T00:00:00Z,3739879999269.09
2016-08-06T00:00:00Z,3663659754981.03
2016-08-07T00:00:00Z,3765178719983.66
2016-08-08T00:00:00Z,3842350456633.6
2016-08-09T00:00:00Z,4021507586692.22
2016-08-10T00:00:00Z,4122562967626.33
2016-08-11T00:00:00Z,4220777410835.08
2016-08-12T00:00:00Z,4176657540235.75
2016-08-13T00:00:00Z,4164961534680.78
2016-08-14T00:00:00Z,4181827802103.02
2016-08-15T00:00:00Z,4191312964200.07
2016-08-16T00:00:00Z,4311467001002.5
2016-08-17T00:00:00Z,4272427822471.63
2016-08-18T00:00:00Z,4311005806435.51
2016-08-19T00:00:00Z,4344724283827.02
2016-08-20T00:00:00Z,4443554165416.91
2016-08-21T00:00:00Z,4443461205883.72
2016-08-22T00:00:00Z,4529754309348.9
2016-08-23T00:00:00Z,4576358785049.54
2016-08-24T00:00:00Z,4584626272511.25
2016-08-25T00:00:00Z,4747924486832.99
2016-08-26T00:00:00Z,4865058890345.23
2016-08-27T00:00:00Z,4850915690196.91
